facility,address,city,state,zip,county,hosp_type,total_beds
Cox Medical Center Branson,"525 Branson Landing Blvd, PO Box 650",Branson,MO,65616,Taney,General Acute Care,157
Pemiscot County Memorial Hospital,946 East Reed,Hayti,MO,63851,Pemiscot,General Acute Care,167
Harrison County Community Hospital,2600 Miller Street,Bethany,MO,64424,Harrison,Critical Access,19
Wright Memorial Hospital,191 Iowa Blvd,Trenton,MO,64683,Grundy,Critical Access,22
North Kansas City Hospital,2800 Clay Edwards Drive,North Kansas City,MO,64116,Clay,General Acute Care,451
Signature Psychiatric Hospital,2900 Clay Edwards Drive,North Kansas City,MO,64116,Clay,Psychiatric Hospital,52
Research Medical Center,2316 East Meyer Boulevard,Kansas City,MO,64132,Jackson,General Acute Care,487
Children's Mercy Hospital,2401 Gillham Road,Kansas City,MO,64108,Jackson,General Acute Care,338
Saint Luke's Hospital of Kansas City,4401 Wornall Road,Kansas City,MO,64111,Jackson,General Acute Care,511
Barnes-Jewish St. Peters Hospital,10 Hospital Drive,St. Peters,MO,63376,St. Charles,General Acute Care,110
SSM Health DePaul Hospital - St. Louis,12303 DePaul Drive,Bridgeton,MO,63044,St. Louis,General Acute Care,523
SSM Health Cardinal Glennon Children's Hospital,1465 South Grand Boulevard,St. Louis,MO,63104,St. Louis City,Other Hospital Type,195
St. Louis Children's Hospital,One Children's Place,St. Louis,MO,63110,St. Louis City,Other Hospital Type,445
SSM Health Saint Louis University Hospital,3635 Vista Avenue,St. Louis,MO,63111,St. Louis City,General Acute Care,106
SSM Health Saint Louis University Hospital - South Campus,1755 South Grand Boulevard,St. Louis,MO,63104,St. Louis City,General Acute Care,6
Mercy Hospital Washington,901 East 5th Street,Washington,MO,63090,Franklin,General Acute Care,140
Osage Beach Center for Cognitive Disorders,840 Passover Road,Osage Beach,MO,65065,Camden,Psychiatric Hospital,16
SoutheastHEALTH,1701 Lacey Street,Cape Girardeau,MO,63701,Cape Girardeau,General Acute Care,245
Mercy Hospital Joplin,100 Mercy Way,Joplin,MO,64804,Newton,General Acute Care,242
"Landmark Hospital of Joplin, LLC",2040 W 32nd Street,Joplin,MO,64804,Newton,General Acute Care,30
SSM Health Saint Louis University Hospital,1201 South Grand Blvd,St. Louis,MO,63104,St. Louis City,General Acute Care,294
Hawthorn Children's Psychiatric Hospital,1901 Pennsylvania Avenue,St. Louis,MO,63133,St. Louis,Psychiatric Hospital,0
Southeast Behavioral Hospital,639 Silver Springs Road,Cape Girardeau,MO,63703,Cape Girardeau,Psychiatric Hospital,102
St. Louis Forensic Treatment Center-North,5351 Delmar Blvd.,St. Louis,MO,63112,St. Louis City,Psychiatric Hospital,0
Crittenton Children's Center,10918 Elm Avenue,Kansas City,MO, 64134,Jackson,Psychiatric Hospital,0
Perimeter Behavioral of Missouri,1000 Hospital Rd,Waynesville,MO,65583,Pulaski,Psychiatric Hospital,0
KVC Missouri Springfield,1212 W Lombard,Springfield,MO,65806,Greene,Psychiatric Hospital,0
Heartland Behavioral Health (Great Plains Hospital),1500 West Ashland,Nevada,MO,64772,Vernon,Psychiatric Hospital,0
KVC Missouri Columbia,4304 S. Bearfield Road,Columbia,MO,65201,Boone,Psychiatric Hospital,0
Lakeland Behavioral Health System,2323 W Grand,Springfiled,MO,65806,Greene,Psychiatric Hospital,0
Maryland Heights Center for Behavioral,11100 Ayrshire Drive,"Maryland Heights,",MO,63043,St. Louis,Psychiatric Hospital,16
Mercy Rehabiltation Hospital South,10114 Kennerly Road,St. Louis,MO,63128,St. Louis,Rehabilitation Hospital,50
